Logging to ./logs_PPO_0.0
---------------------------------
| rollout/           |          |
| train/                  |              |
|    adaptive_beta        | 0.475        |
|    approx_kl            | 0.0047103656 |
|    clip_fraction        | 0.0125       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -2.86e-06    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.46e+03     |
|    n_updates            | 680          |
|    policy_gradient_loss | -0.0278      |
|    value_loss           | 3.05e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 55.1         |
|    ep_rew_mean          | -283         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 70           |
|    time_elapsed         | 31773        |
|    total_timesteps      | 8960         |
| train/                  |              |
|    adaptive_beta        | 0.475        |
|    approx_kl            | 0.0071243756 |
|    clip_fraction        | 0.0172       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -7.15e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.33e+03     |
|    n_updates            | 690          |
|    policy_gradient_loss | -0.0335      |
|    value_loss           | 2.96e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.1        |
|    ep_rew_mean          | -282        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 71          |
|    time_elapsed         | 32030       |
|    total_timesteps      | 9088        |
| train/                  |             |
|    adaptive_beta        | 0.475       |
|    approx_kl            | 0.010390129 |
|    clip_fraction        | 0.0422      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.67e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 970         |
|    n_updates            | 700         |
|    policy_gradient_loss | -0.0391     |
|    value_loss           | 2.25e+03    |
-----------------------------------------
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 201          |
|    mean_reward          | -202         |
| time/                   |              |
|    total_timesteps      | 9216         |
| train/                  |              |
|    adaptive_beta        | 0.475        |
|    approx_kl            | 0.0070457445 |
|    clip_fraction        | 0.0289       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -4.41e-06    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.25e+03     |
|    n_updates            | 710          |
|    policy_gradient_loss | -0.0344      |
|    value_loss           | 2.41e+03     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 55       |
|    ep_rew_mean     | -280     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 72       |
|    time_elapsed    | 33143    |
|    total_timesteps | 9216     |
| train/             |          |
|    adaptive_beta   | 0.475    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55          |
|    ep_rew_mean          | -279        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 73          |
|    time_elapsed         | 33410       |
|    total_timesteps      | 9344        |
| train/                  |             |
|    adaptive_beta        | 0.475       |
|    approx_kl            | 0.011960672 |
|    clip_fraction        | 0.0555      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -8.23e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 778         |
|    n_updates            | 720         |
|    policy_gradient_loss | -0.0457     |
|    value_loss           | 1.94e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54          |
|    ep_rew_mean          | -273        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 74          |
|    time_elapsed         | 33689       |
|    total_timesteps      | 9472        |
| train/                  |             |
|    adaptive_beta        | 0.475       |
|    approx_kl            | 0.009215033 |
|    clip_fraction        | 0.0312      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.19e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 985         |
|    n_updates            | 730         |
|    policy_gradient_loss | -0.0398     |
|    value_loss           | 2.21e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.4        |
|    ep_rew_mean          | -270        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 75          |
|    time_elapsed         | 33974       |
|    total_timesteps      | 9600        |
| train/                  |             |
|    adaptive_beta        | 0.475       |
|    approx_kl            | 0.011896277 |
|    clip_fraction        | 0.0508      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -5.13e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 709         |
|    n_updates            | 740         |
|    policy_gradient_loss | -0.0474     |
|    value_loss           | 1.58e+03    |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 22          |
|    mean_reward          | -28.3       |
| time/                   |             |
|    total_timesteps      | 9728        |
| train/                  |             |
|    adaptive_beta        | 0.475       |
|    approx_kl            | 0.011739434 |
|    clip_fraction        | 0.0492      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -3.1e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 1e+03       |
|    n_updates            | 750         |
|    policy_gradient_loss | -0.0459     |
|    value_loss           | 1.78e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 53.3     |
|    ep_rew_mean     | -270     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 76       |
|    time_elapsed    | 34610    |
|    total_timesteps | 9728     |
| train/             |          |
|    adaptive_beta   | 0.475    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 54.4         |
|    ep_rew_mean          | -277         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 77           |
|    time_elapsed         | 34902        |
|    total_timesteps      | 9856         |
| train/                  |              |
|    adaptive_beta        | 0.475        |
|    approx_kl            | 0.0057514617 |
|    clip_fraction        | 0.0187       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -7.51e-06    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.35e+03     |
|    n_updates            | 760          |
|    policy_gradient_loss | -0.0291      |
|    value_loss           | 2.62e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.8        |
|    ep_rew_mean          | -273        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 78          |
|    time_elapsed         | 35191       |
|    total_timesteps      | 9984        |
| train/                  |             |
|    adaptive_beta        | 0.475       |
|    approx_kl            | 0.007053685 |
|    clip_fraction        | 0.0187      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -8.34e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.82e+03    |
|    n_updates            | 770         |
|    policy_gradient_loss | -0.0343     |
|    value_loss           | 3.85e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.9        |
|    ep_rew_mean          | -270        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 79          |
|    time_elapsed         | 35465       |
|    total_timesteps      | 10112       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.008911773 |
|    clip_fraction        | 0.025       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -4.77e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.49e+03    |
|    n_updates            | 780         |
|    policy_gradient_loss | -0.0352     |
|    value_loss           | 3.37e+03    |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 43.6        |
|    mean_reward          | -45.5       |
| time/                   |             |
|    total_timesteps      | 10240       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.012766693 |
|    clip_fraction        | 0.0664      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.31e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.07e+03    |
|    n_updates            | 790         |
|    policy_gradient_loss | -0.0483     |
|    value_loss           | 2.37e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 52.8     |
|    ep_rew_mean     | -270     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 80       |
|    time_elapsed    | 36381    |
|    total_timesteps | 10240    |
| train/             |          |
|    adaptive_beta   | 0.451    |
---------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 52.8      |
|    ep_rew_mean          | -269      |
| time/                   |           |
|    fps                  | 0         |
|    iterations           | 81        |
|    time_elapsed         | 36649     |
|    total_timesteps      | 10368     |
| train/                  |           |
|    adaptive_beta        | 0.451     |
|    approx_kl            | 0.0218568 |
|    clip_fraction        | 0.118     |
|    clip_range           | 0.2       |
|    entropy_loss         | -10.3     |
|    explained_variance   | -4.05e-06 |
|    learning_rate        | 0.0003    |
|    loss                 | 603       |
|    n_updates            | 800       |
|    policy_gradient_loss | -0.0619   |
|    value_loss           | 1.24e+03  |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53          |
|    ep_rew_mean          | -271        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 82          |
|    time_elapsed         | 36896       |
|    total_timesteps      | 10496       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.006941632 |
|    clip_fraction        | 0.0109      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -2.62e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.98e+03    |
|    n_updates            | 810         |
|    policy_gradient_loss | -0.0295     |
|    value_loss           | 3.88e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.6         |
|    ep_rew_mean          | -273         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 83           |
|    time_elapsed         | 37164        |
|    total_timesteps      | 10624        |
| train/                  |              |
|    adaptive_beta        | 0.451        |
|    approx_kl            | 0.0057036355 |
|    clip_fraction        | 0.0141       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -1.79e-06    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.51e+03     |
|    n_updates            | 820          |
|    policy_gradient_loss | -0.0304      |
|    value_loss           | 2.77e+03     |
------------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 42.8        |
|    mean_reward          | -45.3       |
| time/                   |             |
|    total_timesteps      | 10752       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.010724105 |
|    clip_fraction        | 0.0469      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -2.03e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.37e+03    |
|    n_updates            | 830         |
|    policy_gradient_loss | -0.0465     |
|    value_loss           | 2.95e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 52.9     |
|    ep_rew_mean     | -271     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 84       |
|    time_elapsed    | 38076    |
|    total_timesteps | 10752    |
| train/             |          |
|    adaptive_beta   | 0.451    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.9        |
|    ep_rew_mean          | -269        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 85          |
|    time_elapsed         | 38338       |
|    total_timesteps      | 10880       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.008025954 |
|    clip_fraction        | 0.0258      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.91e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.52e+03    |
|    n_updates            | 840         |
|    policy_gradient_loss | -0.0377     |
|    value_loss           | 2.91e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.9        |
|    ep_rew_mean          | -270        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 86          |
|    time_elapsed         | 38585       |
|    total_timesteps      | 11008       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.011874149 |
|    clip_fraction        | 0.0406      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -4.53e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.12e+03    |
|    n_updates            | 850         |
|    policy_gradient_loss | -0.0472     |
|    value_loss           | 2.23e+03    |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.5         |
|    ep_rew_mean          | -266         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 87           |
|    time_elapsed         | 38851        |
|    total_timesteps      | 11136        |
| train/                  |              |
|    adaptive_beta        | 0.451        |
|    approx_kl            | 0.0073173568 |
|    clip_fraction        | 0.0172       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -1.19e-06    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.35e+03     |
|    n_updates            | 860          |
|    policy_gradient_loss | -0.0304      |
|    value_loss           | 2.66e+03     |
------------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 103         |
|    mean_reward          | -124        |
| time/                   |             |
|    total_timesteps      | 11264       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.011214295 |
|    clip_fraction        | 0.0461      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -2.5e-06    |
|    learning_rate        | 0.0003      |
|    loss                 | 856         |
|    n_updates            | 870         |
|    policy_gradient_loss | -0.0458     |
|    value_loss           | 1.59e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 52.1     |
|    ep_rew_mean     | -265     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 88       |
|    time_elapsed    | 39930    |
|    total_timesteps | 11264    |
| train/             |          |
|    adaptive_beta   | 0.451    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.4        |
|    ep_rew_mean          | -266        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 89          |
|    time_elapsed         | 40213       |
|    total_timesteps      | 11392       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.008517159 |
|    clip_fraction        | 0.0227      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -2.03e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.3e+03     |
|    n_updates            | 880         |
|    policy_gradient_loss | -0.0365     |
|    value_loss           | 2.66e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.5        |
|    ep_rew_mean          | -268        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 90          |
|    time_elapsed         | 40476       |
|    total_timesteps      | 11520       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.009617677 |
|    clip_fraction        | 0.032       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -5.96e-07   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.55e+03    |
|    n_updates            | 890         |
|    policy_gradient_loss | -0.0361     |
|    value_loss           | 3.66e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53          |
|    ep_rew_mean          | -270        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 91          |
|    time_elapsed         | 40712       |
|    total_timesteps      | 11648       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.008673785 |
|    clip_fraction        | 0.0281      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.07e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.21e+03    |
|    n_updates            | 900         |
|    policy_gradient_loss | -0.0355     |
|    value_loss           | 2.43e+03    |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 206         |
|    mean_reward          | -192        |
| time/                   |             |
|    total_timesteps      | 11776       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.016748313 |
|    clip_fraction        | 0.093       |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.43e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 762         |
|    n_updates            | 910         |
|    policy_gradient_loss | -0.0517     |
|    value_loss           | 1.53e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 53       |
|    ep_rew_mean     | -270     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 92       |
|    time_elapsed    | 41822    |
|    total_timesteps | 11776    |
| train/             |          |
|    adaptive_beta   | 0.451    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.8         |
|    ep_rew_mean          | -273         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 93           |
|    time_elapsed         | 42086        |
|    total_timesteps      | 11904        |
| train/                  |              |
|    adaptive_beta        | 0.451        |
|    approx_kl            | 0.0029177903 |
|    clip_fraction        | 0.000781     |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -9.54e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 2.18e+03     |
|    n_updates            | 920          |
|    policy_gradient_loss | -0.0182      |
|    value_loss           | 4.25e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 53.2        |
|    ep_rew_mean          | -270        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 94          |
|    time_elapsed         | 42343       |
|    total_timesteps      | 12032       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.010282869 |
|    clip_fraction        | 0.0352      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -2.74e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 789         |
|    n_updates            | 930         |
|    policy_gradient_loss | -0.0453     |
|    value_loss           | 1.6e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.2        |
|    ep_rew_mean          | -265        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 95          |
|    time_elapsed         | 42609       |
|    total_timesteps      | 12160       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.006533956 |
|    clip_fraction        | 0.0219      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 1.79e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.79e+03    |
|    n_updates            | 940         |
|    policy_gradient_loss | -0.0284     |
|    value_loss           | 3.09e+03    |
-----------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 39          |
|    mean_reward          | -68.3       |
| time/                   |             |
|    total_timesteps      | 12288       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.013521409 |
|    clip_fraction        | 0.0664      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.55e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 976         |
|    n_updates            | 950         |
|    policy_gradient_loss | -0.0485     |
|    value_loss           | 2.1e+03     |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 52.3     |
|    ep_rew_mean     | -266     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 96       |
|    time_elapsed    | 43438    |
|    total_timesteps | 12288    |
| train/             |          |
|    adaptive_beta   | 0.451    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.3         |
|    ep_rew_mean          | -266         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 97           |
|    time_elapsed         | 43693        |
|    total_timesteps      | 12416        |
| train/                  |              |
|    adaptive_beta        | 0.451        |
|    approx_kl            | 0.0048948056 |
|    clip_fraction        | 0.00547      |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -3.58e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.71e+03     |
|    n_updates            | 960          |
|    policy_gradient_loss | -0.0264      |
|    value_loss           | 3.54e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.1         |
|    ep_rew_mean          | -272         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 98           |
|    time_elapsed         | 43952        |
|    total_timesteps      | 12544        |
| train/                  |              |
|    adaptive_beta        | 0.451        |
|    approx_kl            | 0.0055337353 |
|    clip_fraction        | 0.00625      |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -1.31e-06    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.8e+03      |
|    n_updates            | 970          |
|    policy_gradient_loss | -0.0301      |
|    value_loss           | 3.74e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.8         |
|    ep_rew_mean          | -272         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 99           |
|    time_elapsed         | 44222        |
|    total_timesteps      | 12672        |
| train/                  |              |
|    adaptive_beta        | 0.451        |
|    approx_kl            | 0.0072187996 |
|    clip_fraction        | 0.0203       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -1.79e-06    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.36e+03     |
|    n_updates            | 980          |
|    policy_gradient_loss | -0.0335      |
|    value_loss           | 2.84e+03     |
------------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 36.6        |
|    mean_reward          | -51.5       |
| time/                   |             |
|    total_timesteps      | 12800       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.015850019 |
|    clip_fraction        | 0.0734      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.07e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.04e+03    |
|    n_updates            | 990         |
|    policy_gradient_loss | -0.049      |
|    value_loss           | 2.04e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 52.1     |
|    ep_rew_mean     | -269     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 100      |
|    time_elapsed    | 45002    |
|    total_timesteps | 12800    |
| train/             |          |
|    adaptive_beta   | 0.451    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.1         |
|    ep_rew_mean          | -270         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 101          |
|    time_elapsed         | 45295        |
|    total_timesteps      | 12928        |
| train/                  |              |
|    adaptive_beta        | 0.451        |
|    approx_kl            | 0.0070559173 |
|    clip_fraction        | 0.0164       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -1.19e-06    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.34e+03     |
|    n_updates            | 1000         |
|    policy_gradient_loss | -0.0331      |
|    value_loss           | 2.87e+03     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 51.2        |
|    ep_rew_mean          | -267        |
| time/                   |             |
|    fps                  | 0           |
|    iterations           | 102         |
|    time_elapsed         | 45573       |
|    total_timesteps      | 13056       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.007065485 |
|    clip_fraction        | 0.0211      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | -1.67e-06   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.52e+03    |
|    n_updates            | 1010        |
|    policy_gradient_loss | -0.0352     |
|    value_loss           | 2.8e+03     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 51.3         |
|    ep_rew_mean          | -267         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 103          |
|    time_elapsed         | 45858        |
|    total_timesteps      | 13184        |
| train/                  |              |
|    adaptive_beta        | 0.451        |
|    approx_kl            | 0.0108168125 |
|    clip_fraction        | 0.0484       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -3.58e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.31e+03     |
|    n_updates            | 1020         |
|    policy_gradient_loss | -0.0432      |
|    value_loss           | 2.67e+03     |
------------------------------------------
-----------------------------------------
| eval/                   |             |
|    mean_ep_length       | 47.4        |
|    mean_reward          | -105        |
| time/                   |             |
|    total_timesteps      | 13312       |
| train/                  |             |
|    adaptive_beta        | 0.451       |
|    approx_kl            | 0.008780558 |
|    clip_fraction        | 0.0328      |
|    clip_range           | 0.2         |
|    entropy_loss         | -10.3       |
|    explained_variance   | 7.15e-07    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.22e+03    |
|    n_updates            | 1030        |
|    policy_gradient_loss | -0.0369     |
|    value_loss           | 2.49e+03    |
-----------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 51.2     |
|    ep_rew_mean     | -267     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 104      |
|    time_elapsed    | 46795    |
|    total_timesteps | 13312    |
| train/             |          |
|    adaptive_beta   | 0.451    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 51.9         |
|    ep_rew_mean          | -271         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 105          |
|    time_elapsed         | 47092        |
|    total_timesteps      | 13440        |
| train/                  |              |
|    adaptive_beta        | 0.451        |
|    approx_kl            | 0.0075174533 |
|    clip_fraction        | 0.0156       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | 1.13e-06     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.8e+03      |
|    n_updates            | 1040         |
|    policy_gradient_loss | -0.0359      |
|    value_loss           | 3.3e+03      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 51.6         |
|    ep_rew_mean          | -269         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 106          |
|    time_elapsed         | 47367        |
|    total_timesteps      | 13568        |
| train/                  |              |
|    adaptive_beta        | 0.451        |
|    approx_kl            | 0.0073995646 |
|    clip_fraction        | 0.0227       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -2.15e-06    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.4e+03      |
|    n_updates            | 1050         |
|    policy_gradient_loss | -0.0371      |
|    value_loss           | 3e+03        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 51.5         |
|    ep_rew_mean          | -268         |
| time/                   |              |
|    fps                  | 0            |
|    iterations           | 107          |
|    time_elapsed         | 47622        |
|    total_timesteps      | 13696        |
| train/                  |              |
|    adaptive_beta        | 0.451        |
|    approx_kl            | 0.0104648825 |
|    clip_fraction        | 0.0422       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -7.15e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.32e+03     |
|    n_updates            | 1060         |
|    policy_gradient_loss | -0.0392      |
|    value_loss           | 2.74e+03     |
------------------------------------------
------------------------------------------
| eval/                   |              |
|    mean_ep_length       | 200          |
|    mean_reward          | -180         |
| time/                   |              |
|    total_timesteps      | 13824        |
| train/                  |              |
|    adaptive_beta        | 0.451        |
|    approx_kl            | 0.0056315246 |
|    clip_fraction        | 0.0141       |
|    clip_range           | 0.2          |
|    entropy_loss         | -10.3        |
|    explained_variance   | -5.96e-07    |
|    learning_rate        | 0.0003       |
|    loss                 | 1.8e+03      |
|    n_updates            | 1070         |
|    policy_gradient_loss | -0.0296      |
|    value_loss           | 3.91e+03     |
------------------------------------------
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 52       |
|    ep_rew_mean     | -272     |
| time/              |          |
|    fps             | 0        |
|    iterations      | 108      |
|    time_elapsed    | 48742    |
|    total_timesteps | 13824    |
| train/             |          |
|    adaptive_beta   | 0.451    |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 52.5        |
